,accuracy
0,0.2294
1,0.388
2,0.5
3,0.5868
4,0.6093
5,0.6233
6,0.632
7,0.6524
8,0.6728
9,0.6972
10,0.7136
11,0.733
12,0.7476
13,0.7535
14,0.7655
15,0.7754
16,0.782
17,0.7885
18,0.7939
19,0.8005
20,0.8057
21,0.8119
22,0.8193
23,0.8244
24,0.8301
25,0.8368
26,0.8422
27,0.848
28,0.8536
29,0.8577
30,0.8629
31,0.8646
32,0.8699
33,0.8729
34,0.876
35,0.8791
36,0.8821
37,0.8855
38,0.887
39,0.8901
40,0.8919
41,0.8936
42,0.8968
43,0.8985
44,0.9007
45,0.9027
46,0.9041
47,0.9069
48,0.9079
49,0.9101
50,0.911
51,0.9123
52,0.9125
53,0.9145
54,0.9159
55,0.9161
56,0.9172
57,0.9185
58,0.9184
59,0.9202
60,0.9207
61,0.9223
62,0.9235
63,0.9236
64,0.9242
65,0.9254
66,0.9274
67,0.9272
68,0.9278
69,0.9284
