,accuracy
0,0.1612
1,0.32
2,0.3887
3,0.426
4,0.4774
5,0.5082
6,0.4747
7,0.5428
8,0.5622
9,0.573
10,0.6328
11,0.6346
12,0.6658
13,0.6436
14,0.67
15,0.6748
16,0.6898
17,0.7005
18,0.713
19,0.7218
20,0.7247
21,0.7353
22,0.7351
23,0.7375
24,0.7454
25,0.7448
26,0.7527
27,0.7606
28,0.7605
29,0.7639
30,0.7603
31,0.7665
32,0.7651
33,0.7688
34,0.7714
35,0.7765
36,0.7768
37,0.7803
38,0.7799
39,0.7785
40,0.7834
41,0.7844
42,0.7838
43,0.7874
44,0.7899
45,0.791
46,0.7943
47,0.7951
48,0.7956
49,0.7969
50,0.7974
51,0.7987
52,0.7991
53,0.7977
54,0.7986
55,0.8012
56,0.8006
57,0.8021
58,0.8032
59,0.8045
60,0.8028
61,0.8024
62,0.8025
63,0.8015
64,0.8028
65,0.804
66,0.8039
67,0.8027
68,0.8023
69,0.8034
