,accuracy
0,0.1389
1,0.2324
2,0.2952
3,0.3332
4,0.4337
5,0.3932
6,0.476
7,0.5076
8,0.5272
9,0.5275
10,0.5524
11,0.5594
12,0.5948
13,0.5767
14,0.6182
15,0.6674
16,0.6693
17,0.6952
18,0.7041
19,0.6933
20,0.691
21,0.706
22,0.7071
23,0.7148
24,0.7193
25,0.7235
26,0.7438
27,0.7678
28,0.7777
29,0.7779
30,0.7943
31,0.7712
32,0.7816
33,0.7865
34,0.7842
35,0.7759
36,0.7754
37,0.779
38,0.7845
39,0.7793
40,0.7876
41,0.7834
42,0.794
43,0.7899
44,0.7891
45,0.7871
46,0.8032
47,0.7829
48,0.802
49,0.7967
50,0.7969
51,0.8098
52,0.8047
53,0.7981
54,0.8001
55,0.7951
56,0.7973
57,0.7942
58,0.8006
59,0.7935
60,0.808
61,0.8054
62,0.8096
63,0.8091
64,0.8082
65,0.7976
66,0.801
67,0.8111
68,0.807
69,0.8121
