,accuracy
0,0.2544
1,0.304
2,0.374
3,0.3959
4,0.4149
5,0.4133
6,0.4337
7,0.4551
8,0.4711
9,0.5093
10,0.5294
11,0.5579
12,0.5815
13,0.6047
14,0.6278
15,0.6506
16,0.6673
17,0.692
18,0.7129
19,0.7297
20,0.7482
21,0.7635
22,0.7827
23,0.7896
24,0.8021
25,0.81
26,0.8202
27,0.8266
28,0.8342
29,0.841
30,0.8448
31,0.8509
32,0.855
33,0.86
34,0.8656
35,0.8708
36,0.8743
37,0.8763
38,0.8813
39,0.8829
40,0.8856
41,0.8886
42,0.8904
43,0.8912
44,0.894
45,0.8944
46,0.8989
47,0.8982
48,0.9012
49,0.9018
50,0.9025
51,0.9033
52,0.9052
53,0.9078
54,0.9081
55,0.9105
56,0.9115
57,0.9113
58,0.914
59,0.9149
60,0.9147
61,0.9169
62,0.9181
63,0.9174
64,0.9196
65,0.9204
66,0.9206
67,0.9218
68,0.9232
69,0.9234
