,accuracy
0,0.2882
1,0.3317
2,0.4236
3,0.4408
4,0.4563
5,0.4535
6,0.4782
7,0.5099
8,0.5337
9,0.5752
10,0.6102
11,0.6352
12,0.6565
13,0.672
14,0.6906
15,0.7059
16,0.7202
17,0.7353
18,0.7461
19,0.7574
20,0.7687
21,0.7779
22,0.7918
23,0.803
24,0.8138
25,0.8249
26,0.8339
27,0.8381
28,0.8481
29,0.8562
30,0.8628
31,0.8688
32,0.8772
33,0.882
34,0.8889
35,0.8917
36,0.8952
37,0.9003
38,0.9038
39,0.9072
40,0.9098
41,0.911
42,0.913
43,0.9156
44,0.9172
45,0.919
46,0.9207
47,0.9219
48,0.9237
49,0.9243
50,0.9256
51,0.9264
52,0.9277
53,0.9282
54,0.9297
55,0.9306
56,0.9319
57,0.9326
58,0.9328
59,0.9335
60,0.9333
61,0.9335
62,0.9338
63,0.9356
64,0.9349
65,0.9367
66,0.9363
67,0.9376
68,0.9383
69,0.9385
