,accuracy
0,0.2601
1,0.3557
2,0.4226
3,0.4919
4,0.4934
5,0.5205
6,0.5586
7,0.5769
8,0.6007
9,0.632
10,0.6603
11,0.6635
12,0.6838
13,0.7058
14,0.7208
15,0.7321
16,0.743
17,0.7493
18,0.7607
19,0.77
20,0.7737
21,0.7849
22,0.7916
23,0.8011
24,0.8107
25,0.8125
26,0.8208
27,0.8239
28,0.8389
29,0.8453
30,0.8514
31,0.8536
32,0.8618
33,0.8664
34,0.87
35,0.8749
36,0.8792
37,0.8842
38,0.8885
39,0.8892
40,0.8929
41,0.895
42,0.8965
43,0.8981
44,0.9023
45,0.9037
46,0.9045
47,0.9071
48,0.9083
49,0.9096
50,0.9101
51,0.9126
52,0.9133
53,0.9152
54,0.9149
55,0.9152
56,0.9176
57,0.917
58,0.9185
59,0.9205
60,0.9215
61,0.9214
62,0.9232
63,0.9231
64,0.9249
65,0.9252
66,0.9254
67,0.9274
68,0.9277
69,0.9284
